PC2,PC3
-84.36,-78.52
-84.99,-78.49
-82.88,-78.78
-83.83,-80.54
-83.47,-81.41
-81.15,-80.5
-81.22,-79.95
-82.42,-78.4
-81.37,-76.46
-82.04,-76.12
-83.08,-76.58
-82.34,-77.29
-82.28,-76.63
-80.65,-77.56
-80.96,-77.96
-79.85,-80.22
-80.57,-81.31
-81.99,-85.22
-83.43,-84.21
-82.55,-79.13
-81.09,-77.62
-79.48,-78.78
-79.93,-79.46
-80.85,-81.56
-82.96,-82.45
-81.21,-83.14
-83.25,-85.68
-82.55,-81.03
-77.41,-76.7
-75.76,-75.64
-72.52,-77.05
-73.97,-75.52
-76.65,-74.86
-78.57,-78.22
-79.03,-80.29
-77.65,-81.19
-80.0,-81.26
-80.29,-83.04
-82.79,-83.83
-80.46,-82.66
-85.04,-85.39
-84.06,-84.79
-82.91,-82.11
-80.46,-84.24
-79.82,-81.42
-79.58,-79.61
-75.29,-76.43
-72.98,-74.93
-72.57,-70.75
-75.83,-72.17
-76.44,-73.58
-73.12,-72.66
-71.37,-71.85
-69.69,-73.62
-70.94,-77.01
-72.65,-79.7
-78.24,-80.67
-80.79,-76.97
-76.57,-77.47
-73.12,-76.04
-72.34,-75.8
-75.15,-77.56
-74.81,-77.17
-79.38,-82.79
-84.14,-83.49
-79.32,-80.86
-79.18,-79.76
-77.56,-80.54
-78.39,-74.5
-79.45,-72.3
-68.24,-70.96
-68.88,-69.91
-69.31,-66.44
-71.27,-71.25
-69.6,-76.57
-72.43,-77.08
-72.8,-78.53
